Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,3.1931,0.0417,3.0466,0.125
2,2.8889,0.2083,2.9529,0.1875
3,2.6636,0.25,2.8637,0.1875
4,2.4637,0.2917,2.7732,0.3125
5,2.2708,0.5,2.6964,0.5
6,2.0882,0.625,2.6245,0.5
7,1.9238,0.625,2.5683,0.5
8,1.7757,0.7083,2.5144,0.4375
9,1.6309,0.7083,2.4566,0.4375
10,1.4967,0.7083,2.3918,0.4375
11,1.367,0.875,2.3412,0.4375
12,1.2491,0.875,2.2962,0.4375
13,1.1436,0.875,2.2484,0.4375
14,1.037,0.875,2.1996,0.4375
15,0.9514,0.875,2.1564,0.4375
16,0.8624,0.875,2.1121,0.5
17,0.7883,0.875,2.062,0.5
18,0.7163,0.875,2.0249,0.5
19,0.6552,0.9167,1.9864,0.5
20,0.5969,0.9167,1.9475,0.5
21,0.5476,0.9167,1.9117,0.5
22,0.5,0.9167,1.8792,0.5
23,0.4573,0.9583,1.852,0.5625
24,0.4205,0.9583,1.8168,0.5625
25,0.3876,0.9583,1.789,0.5625
26,0.3545,0.9583,1.7681,0.5
27,0.3254,0.9583,1.7413,0.5
28,0.2984,0.9583,1.7185,0.5
29,0.2717,0.9583,1.6883,0.5
30,0.2516,0.9583,1.6538,0.5625
